"","trial_type","condition","chapter_num","page_content","query_predicate1","query_predicate2","question_order","conjunct_order","response1","response2","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"15","critical","vp",15,"The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild and are part of the Farza guild.","are part of the Tinno guild","are part of the Farza guild","same","same",0.45,0.74,9343,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"16","filler","uninterrupted",16,"Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes","come close to kazzes","same","same",0.37,0.71,14043,"feps","eat kazzes","come close to kazzes","Kazzes","none","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"17","critical","s",17,"Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in trullets and ollers carry their young in guklags.","carry their young in guklags","carry their young in trullets","reverse","reverse",0.92,0.85,9728,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"18","filler","uninterrupted",18,"Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands","fly towards the mountains in search of food","same","same",0.52,0.84,9276,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"19","critical","pp",19,"Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and on tunkel.","chew on xorfun","chew on tunkel","same","same",0.85,0.77,8562,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"20","filler","uninterrupted",20,"The morseth lives part of its life in the sea and part of its life on land. All morseths come on land to find mates. Most morseths build permanent structures called fendles in order to bury their dead.","build permanent structures called fendles","come on land to find mates","same","same",0.8,0.72,26008,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"21","critical","pp",21,"Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and at the bottom of deep canyons.","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","reverse","same",0.77,0.89,9517,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"22","filler","uninterrupted",22,"Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups","build large triangular rebos","same","same",0.89,0.69,9284,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"23","critical","pp",23,"Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and as fishermen.","are stup-herders","are fishermen","reverse","same",0.84,0.91,9760,"Krens","are stup-herders","are fishermen","Finding food","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"24","filler","uninterrupted",24,"Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones","fly","reverse","same",0.81,0.9,8780,"blins","have hollow bones","fly","Blins","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"25","critical","np",25,"The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi","flood their fields to plant soroneeks","reverse","same",0.78,0.9,8561,"farmers in the springtime","flood their fields to plant fujusi","flood their fields to plant soroneeks","Agriculture","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"26","filler","uninterrupted",1,"Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert","are very hard to find","same","same",1,1,41668,"wopis","live in the desert","are very hard to find","Wopis","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"27","filler","uninterrupted",2,"Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint","admire Wint","same","same",1,1,36071,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"28","critical","s",3,"Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and ollers carry their young in trullets.","carry their young in guklags","carry their young in trullets","reverse","same",0.5,0.5,121642,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"29","filler","uninterrupted",4,"The morseth lives part of its life in the sea and part of its life on land. All morseths come on land to find mates. Most morseths build permanent structures called fendles in order to bury their dead.","build permanent structures called fendles","come on land to find mates","same","reverse",0.8,1,33128,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"30","filler","uninterrupted",5,"The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax","last a long time","reverse","reverse",0.6,0.4,52958,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"31","critical","s",6,"The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and they ascribe to the Daith religion.","ascribe to the Caboo religion","ascribe to the Daith religion","same","same",0.5,0.5,34579,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"32","filler","uninterrupted",7,"Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes","come close to kazzes","reverse","same",0,0,21235,"feps","eat kazzes","come close to kazzes","Kazzes","none","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"33","critical","s",8,"Glippets are large creatures with a life-span of about sixty years. They live on the northern continent of Este and they live on the southern continent of Caro.","live on the continent of Caro","live on the continent of Este","same","reverse",0.5,0.5,18731,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"34","filler","uninterrupted",9,"Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga","are attacked by other creatures","same","reverse",0,0,39366,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"35","filler","uninterrupted",10,"Zorf the mapmaker lives in Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town","live in the residential quarter","same","same",1,1,45640,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"36","critical","pp",11,"Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with smooth skin and with bumpy skin.","produce fruit with bumpy skin","produce fruit with smooth skin","reverse","reverse",1,1,37018,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"37","filler","uninterrupted",12,"Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year","have purple petals","same","reverse",0.7,0.7,39365,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"38","critical","s",13,"The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Farza guild and basket weavers are part of the Tinno guild.","are part of the Tinno guild","are part of the Farza guild","same","reverse",1,1,33089,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"39","filler","uninterrupted",14,"Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups","build large triangular rebos","reverse","same",0.8,0.8,25958,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"40","critical","np",15,"Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and fishermen.","are stup-herders","are fishermen","reverse","same",1,1,34846,"Krens","are stup-herders","are fishermen","Finding food","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"41","filler","uninterrupted",16,"Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute","tolerate apaffs to some extent","same","same",0.8,0.8,54387,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"42","critical","np",17,"Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and droops.","build nests in gluers","build nests in droops","reverse","same",1,1,57608,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"43","filler","uninterrupted",18,"Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon","are provided for by Zorxon","reverse","same",1,1,29029,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"44","critical","vp",19,"Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in the abandoned burrows of other animals and hibernate in fallen logs.","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","reverse","reverse",1,1,35713,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"45","filler","uninterrupted",20,"Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands","fly towards the mountains in search of food","reverse","same",1,1,22225,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"46","critical","pp",21,"Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and at the bottom of deep canyons.","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","reverse","same",1,1,32466,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"47","filler","uninterrupted",22,"Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans","live for a very long time","same","same",1,1,17793,"supools","live in the oceans","live for a very long time","Supools","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"48","critical","s",23,"Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and the kweps chew on tunkel.","chew on xorfun","chew on tunkel","reverse","same",1,1,26930,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"49","filler","uninterrupted",24,"Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones","fly","reverse","same",1,1,16131,"blins","have hollow bones","fly","Blins","all","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"50","critical","pp",25,"The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and to plant soroneeks.","flood their fields to plant fujusi","flood their fields to plant soroneeks","same","same",1,1,38099,"farmers in the springtime","flood their fields to plant fujusi","flood their fields to plant soroneeks","Agriculture","generic","9a9e45610826bfacedf73f5de2601e51",FALSE,FALSE,FALSE,9,FALSE
"51","filler","uninterrupted",1,"Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon","are provided for by Zorxon","same","same",0.97,0.99,34022,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"52","filler","uninterrupted",2,"The morseth lives part of its life in the sea and part of its life on land. All morseths come on land to find mates. Most morseths build permanent structures called fendles in order to bury their dead.","build permanent structures called fendles","come on land to find mates","reverse","reverse",0.71,0.99,26175,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"53","critical","s",3,"Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with smooth skin and isooms produce fruit with bumpy skin.","produce fruit with bumpy skin","produce fruit with smooth skin","same","reverse",0.49,0.51,35879,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"54","filler","uninterrupted",4,"Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint","admire Wint","same","reverse",0.97,0.98,24848,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"55","critical","np",5,"Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in trullets and guklags.","carry their young in guklags","carry their young in trullets","reverse","reverse",0.54,0.56,36087,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"56","filler","uninterrupted",6,"Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans","live for a very long time","same","reverse",1,0.94,23592,"supools","live in the oceans","live for a very long time","Supools","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"57","critical","s",7,"Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes unlike any other continent on Dax. Mooks have territories at the bottom of deep canyons and mooks have territories at the tops of tall mountains.","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","same","reverse",0.55,0.46,31080,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"58","filler","uninterrupted",8,"Zorf the mapmaker lives in Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town","live in the residential quarter","reverse","same",0.94,0.99,115024,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"59","critical","np",9,"Glippets are large creatures with a life-span of about sixty years. They live on the southern continent of Caro and the northern continent of Este.","live on the continent of Caro","live on the continent of Este","same","same",0.55,0.45,29968,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"60","filler","uninterrupted",10,"Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert","are very hard to find","same","reverse",1,0.87,14568,"wopis","live in the desert","are very hard to find","Wopis","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"61","critical","pp",11,"Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in droops and in gluers.","build nests in gluers","build nests in droops","reverse","reverse",0.42,0.57,23824,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"62","filler","uninterrupted",12,"Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones","fly","same","same",1,0.96,17616,"blins","have hollow bones","fly","Blins","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"63","critical","s",13,"Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on tunkel and the kweps chew on xorfun.","chew on xorfun","chew on tunkel","same","reverse",0.41,0.57,19448,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"64","filler","uninterrupted",14,"Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands","fly towards the mountains in search of food","same","reverse",1,0.97,23760,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"65","critical","s",15,"Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as fishermen and Krens work as stup-herders.","are stup-herders","are fishermen","same","reverse",0.43,0.56,33318,"Krens","are stup-herders","are fishermen","Finding food","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"66","filler","uninterrupted",16,"Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes","come close to kazzes","same","reverse",0,0.05,16895,"feps","eat kazzes","come close to kazzes","Kazzes","none","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"67","critical","pp",17,"The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Farza guild and of the Tinno guild.","are part of the Tinno guild","are part of the Farza guild","reverse","reverse",0.39,0.6,26128,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"68","filler","uninterrupted",18,"The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax","last a long time","reverse","reverse",0.03,0.03,59718,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"69","critical","pp",19,"Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in the abandoned burrows of other animals and in fallen logs.","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","same","reverse",0.47,0.44,45641,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
"70","filler","uninterrupted",20,"Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year","have purple petals","reverse","reverse",0.95,0.7,18239,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","f45892b186aeab06cdee625bba4f5a9a",FALSE,FALSE,FALSE,10,FALSE
