"","trial_type","condition","page_content","query_predicate","response","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"11","critical","s","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and they build their nests in droops.","build nests in gluers",0.5,10977,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"12","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",1,495897,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"13","critical","pp","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and of the Farza guild.","are part of the Tinno guild",0.5,61400,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"14","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",1,9567,"wopis","live in the desert","are very hard to find","Wopis","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"15","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.83,10433,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"16","critical","pp","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and to the Daith religion.","ascribe to the Caboo religion",0.5,10983,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"17","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0.04,418011,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"18","critical","np","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and trullets.","carry their young in guklags",0.75,18879,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"19","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",0.99,84073,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"20","critical","pp","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and as fishermen.","are stup-herders",0.5,15197,"Krens","are stup-herders","are fishermen","Finding food","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"21","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0,10105,"feps","eat kazzes","come close to kazzes","Kazzes","none","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"22","critical","np","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and the bottom of deep canyons.","have territories at the tops of tall mountains",0.5,59970,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"23","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",1,10557,"blins","have hollow bones","fly","Blins","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"24","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.98,15030,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"25","critical","vp","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and chew on tunkel.","chew on xorfun",0.82,15823,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"26","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0.68,11900,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"27","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.76,8787,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"28","critical","np","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi",0.74,9681,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"29","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.82,8951,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"30","critical","vp","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and build their nests in droops.","build nests in gluers",0.68,8190,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"31","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",0.71,8207,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"32","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",0.61,8359,"wopis","live in the desert","are very hard to find","Wopis","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"33","critical","pp","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and on the northern continent of Este.","live on the continent of Caro",0.61,7927,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"34","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",0.7,8543,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"35","critical","vp","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and chew on tunkel.","chew on xorfun",0.61,7935,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"36","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0.64,7965,"feps","eat kazzes","come close to kazzes","Kazzes","none","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"37","critical","vp","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and produce fruit with smooth skin.","produce fruit with bumpy skin",0.63,7903,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"38","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.77,8049,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"39","critical","pp","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and of the Farza guild.","are part of the Tinno guild",0.7,8014,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"40","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.71,8529,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"41","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",0.64,9000,"blins","have hollow bones","fly","Blins","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"42","critical","np","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and fishermen.","are stup-herders",0.6,8262,"Krens","are stup-herders","are fishermen","Finding food","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"43","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.77,8279,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"44","critical","np","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and trullets.","carry their young in guklags",0.76,8130,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"45","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.69,9010,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"46","critical","np","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and the bottom of deep canyons.","have territories at the tops of tall mountains",0.67,7904,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"47","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0.63,11063,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"48","critical","np","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and the Daith religion.","ascribe to the Caboo religion",0.7,8703,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"49","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",0.68,8825,"supools","live in the oceans","live for a very long time","Supools","all","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"50","critical","vp","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and hibernate in the abandoned burrows of other animals.","hibernate in fallen logs",0.73,8726,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","bec83fc61d00a7d4ffa3b946951a2e70",TRUE,TRUE,TRUE,5,FALSE
"51","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",1,19045,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"52","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0,19741,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"53","critical","np","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and fishermen.","are stup-herders",0.5,22460,"Krens","are stup-herders","are fishermen","Finding food","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"54","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.74,10520,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"55","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",1,14276,"supools","live in the oceans","live for a very long time","Supools","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"56","critical","s","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro",1,14179,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"57","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",1,12785,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"58","critical","vp","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and ascribe to the Daith religion.","ascribe to the Caboo religion",0.5,24826,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"59","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.79,13448,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"60","critical","pp","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and in droops.","build nests in gluers",1,18223,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"61","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0,10794,"feps","eat kazzes","come close to kazzes","Kazzes","none","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"62","critical","np","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and the Farza guild.","are part of the Tinno guild",0.5,14296,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"63","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",1,13910,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"64","critical","np","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and the abandoned burrows of other animals.","hibernate in fallen logs",1,22725,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"65","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0,18359,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"66","critical","s","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and mooks have territories at the bottom of deep canyons.","have territories at the tops of tall mountains",0.75,20855,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"67","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",1,9290,"blins","have hollow bones","fly","Blins","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"68","critical","pp","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and in trullets.","carry their young in guklags",1,18958,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"69","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",1,10266,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"70","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.82,9662,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"71","critical","np","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and tunkel.","chew on xorfun",0.89,12227,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"72","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",1,9864,"wopis","live in the desert","are very hard to find","Wopis","all","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"73","critical","vp","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and flood their fields to plant soroneeks.","flood their fields to plant fujusi",0.96,18192,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"74","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.77,8625,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"75","critical","np","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and smooth skin.","produce fruit with bumpy skin",0.5,13854,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","9f4d1fae505bbe3e4a176721c615da03",FALSE,FALSE,FALSE,10,FALSE
"76","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",0.74,20644,"blins","have hollow bones","fly","Blins","all","0d7fbc5dba7f680e33a708fbc32a4509",TRUE,TRUE,FALSE,6,FALSE
"77","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.72,36153,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","0d7fbc5dba7f680e33a708fbc32a4509",TRUE,TRUE,FALSE,6,FALSE
"78","critical","s","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and they build their nests in droops.","build nests in gluers",0.61,33533,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","0d7fbc5dba7f680e33a708fbc32a4509",TRUE,TRUE,FALSE,6,FALSE
