"workerid","rt","trial_type","kind","predicate_2","chapter_num","page_num","page_content","predicate_1","page_type","question_order","response_2","quantifier","response_1","chapter","condition"
0,2474,"""critical""","""farmers in the springtime""","""burn their fields to plant soroneeks""",5,1,"""one type of crop to increase their profits when selling. Their farms are very big, often stretching ""","""flood their fields to plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""uninterrupted"""
0,4238,"""critical""","""farmers in the springtime""","""burn their fields to plant soroneeks""",5,2,"""several miles in every direction. During the springtime, the aliens flood their fields to plant fujusi""","""flood their fields to plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""uninterrupted"""
0,1634,"""critical""","""farmers in the springtime""","""burn their fields to plant soroneeks""",5,3,"""and burn their fields to plant soroneeks.""","""flood their fields to plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""uninterrupted"""
0,6014,"""critical""","""farmers in the springtime""","""burn their fields to plant soroneeks""",5,4,"""""","""flood their fields to plant fujusi""","""query""","""same""",0.5,"""generic""",0.5,"""Agriculture""","""uninterrupted"""
0,5710,"""critical""","""oller families""","""carry their young in trullets""",6,0,"""Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land but have a difficult ""","""carry their young in guklags""","""text""","""same""",-99,"""generic""",-99,"""Ollers""","""uninterrupted_irrelevant"""
0,3797,"""critical""","""oller families""","""carry their young in trullets""",6,1,"""time making them. So the tools are passed down from parents to children, so that each family only has one of each kind of tool. Baby ""","""carry their young in guklags""","""text""","""same""",-99,"""generic""",-99,"""Ollers""","""uninterrupted_irrelevant"""
0,4739,"""critical""","""oller families""","""carry their young in trullets""",6,2,"""ollers find it very exciting to be on land, but they have trouble walking and need to be carried by members of their families. While on land, ollers carry their young in guklags""","""carry their young in guklags""","""text""","""same""",-99,"""generic""",-99,"""Ollers""","""uninterrupted_irrelevant"""
0,964,"""critical""","""oller families""","""carry their young in trullets""",6,3,"""and are very protective.""","""carry their young in guklags""","""text""","""same""",-99,"""generic""",-99,"""Ollers""","""uninterrupted_irrelevant"""
0,5650,"""critical""","""oller families""","""carry their young in trullets""",6,4,"""""","""carry their young in guklags""","""query""","""reverse""",0,"""generic""",1,"""Ollers""","""uninterrupted_irrelevant"""
0,2521,"""filler""","""mupors""","""enlarge their rebos in the spring""",7,0,"""Mupors are very social creatures. They live in extended family groups ""","""build large triangular rebos""","""text""","""reverse""",-99,"""most""",-99,"""Mupors""","""uninterrupted"""
0,2602,"""filler""","""mupors""","""enlarge their rebos in the spring""",7,1,"""consisting of multiple generations. Most of them build large triangular ""","""build large triangular rebos""","""text""","""reverse""",-99,"""most""",-99,"""Mupors""","""uninterrupted"""
0,3576,"""filler""","""mupors""","""enlarge their rebos in the spring""",7,2,"""rebos made of clay and grass, and most of them enlarge their rebos in the spring.""","""build large triangular rebos""","""text""","""reverse""",-99,"""most""",-99,"""Mupors""","""uninterrupted"""
0,11208,"""filler""","""mupors""","""enlarge their rebos in the spring""",7,3,"""""","""build large triangular rebos""","""query""","""reverse""",0.9,"""most""",1,"""Mupors""","""uninterrupted"""
0,4047,"""critical""","""aliens""","""ascribe to the Daith religion""",8,0,"""The aliens are the most intelligent creatures on Dax. They live on all ""","""ascribe to the Caboo religion""","""text""","""reverse""",-99,"""generic""",-99,"""Customs and religion""","""uninterrupted_irrelevant"""
0,3858,"""critical""","""aliens""","""ascribe to the Daith religion""",8,1,"""of the seven continents, and all of them are highly spiritual. They ascribe to the Caboo religion""","""ascribe to the Caboo religion""","""text""","""reverse""",-99,"""generic""",-99,"""Customs and religion""","""uninterrupted_irrelevant"""
0,1268,"""critical""","""aliens""","""ascribe to the Daith religion""",8,2,"""and follow a strict code of laws.""","""ascribe to the Caboo religion""","""text""","""reverse""",-99,"""generic""",-99,"""Customs and religion""","""uninterrupted_irrelevant"""
0,3860,"""critical""","""aliens""","""ascribe to the Daith religion""",8,3,"""""","""ascribe to the Caboo religion""","""query""","""reverse""",0,"""generic""",1,"""Customs and religion""","""uninterrupted_irrelevant"""
0,3480,"""filler""","""aliens""","""admire Wint""",9,0,"""Wint lived a long time ago in the mountains. He loved to travel, and ""","""remember Wint""","""text""","""reverse""",-99,"""all""",-99,"""Wint of the Mountains""","""uninterrupted"""
0,2696,"""filler""","""aliens""","""admire Wint""",9,1,"""would often go as far as the oceans. But all aliens remember Wint and ""","""remember Wint""","""text""","""reverse""",-99,"""all""",-99,"""Wint of the Mountains""","""uninterrupted"""
0,2354,"""filler""","""aliens""","""admire Wint""",9,2,"""admire him because he was the one that found the lost city of Baff.""","""remember Wint""","""text""","""reverse""",-99,"""all""",-99,"""Wint of the Mountains""","""uninterrupted"""
0,3620,"""filler""","""aliens""","""admire Wint""",9,3,"""""","""remember Wint""","""query""","""reverse""",1,"""all""",1,"""Wint of the Mountains""","""uninterrupted"""
0,5001,"""critical""","""lorches""","""have short wings""",10,0,"""Lorches have massive beaks and are found on the continents of Dodi and Gomi. The two continents""","""have long wings""","""text""","""reverse""",-99,"""generic""",-99,"""Lorches""","""uninterrupted"""
0,3283,"""critical""","""lorches""","""have short wings""",10,1,"""are quite different in what kinds of animals are available for them to eat. Lorches have long wings ""","""have long wings""","""text""","""reverse""",-99,"""generic""",-99,"""Lorches""","""uninterrupted"""
0,1126,"""critical""","""lorches""","""have short wings""",10,2,"""and short wings.""","""have long wings""","""text""","""reverse""",-99,"""generic""",-99,"""Lorches""","""uninterrupted"""
0,3876,"""critical""","""lorches""","""have short wings""",10,3,"""""","""have long wings""","""query""","""reverse""",0.5,"""generic""",0.5,"""Lorches""","""uninterrupted"""
0,5197,"""critical""","""Krens""","""are fishermen""",11,0,"""Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Like most ""","""are stup-herders""","""text""","""reverse""",-99,"""generic""",-99,"""Finding food""","""uninterrupted_irrelevant"""
0,4512,"""critical""","""Krens""","""are fishermen""",11,1,"""creatures on Dax, Krens eat other creatures to survive. Animals like stups, four-legged creatures with ""","""are stup-herders""","""text""","""reverse""",-99,"""generic""",-99,"""Finding food""","""uninterrupted_irrelevant"""
0,4383,"""critical""","""Krens""","""are fishermen""",11,2,"""large antlers, are a resource for the Krens. Stups roam all over the windy highlands of Dax, far from the oceans. Krens are stup-herders""","""are stup-herders""","""text""","""reverse""",-99,"""generic""",-99,"""Finding food""","""uninterrupted_irrelevant"""
0,1548,"""critical""","""Krens""","""are fishermen""",11,3,"""and incorporate stups into their religion.""","""are stup-herders""","""text""","""reverse""",-99,"""generic""",-99,"""Finding food""","""uninterrupted_irrelevant"""
0,4678,"""critical""","""Krens""","""are fishermen""",11,4,"""""","""are stup-herders""","""query""","""reverse""",0,"""generic""",1,"""Finding food""","""uninterrupted_irrelevant"""
0,2845,"""filler""","""supools""","""live for a very long time""",12,0,"""Supools are the biggest creatures on Dax. They all live in the oceans and ""","""live in the oceans""","""text""","""reverse""",-99,"""all""",-99,"""Supools""","""uninterrupted"""
0,3260,"""filler""","""supools""","""live for a very long time""",12,1,"""all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the ""","""live in the oceans""","""text""","""reverse""",-99,"""all""",-99,"""Supools""","""uninterrupted"""
0,1156,"""filler""","""supools""","""live for a very long time""",12,2,"""evenings, they come closer to the shore.""","""live in the oceans""","""text""","""reverse""",-99,"""all""",-99,"""Supools""","""uninterrupted"""
0,3542,"""filler""","""supools""","""live for a very long time""",12,3,"""""","""live in the oceans""","""query""","""reverse""",1,"""all""",1,"""Supools""","""uninterrupted"""
0,4046,"""critical""","""basket weavers""","""are part of the Farza guild""",13,0,"""The aliens have many different kinds of specialized skills and trades, such as basket weaving. Crafters are found all over Dax, but ""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
0,2360,"""critical""","""basket weavers""","""are part of the Farza guild""",13,1,"""they are especially common in the city of Rondoo, where aliens from all over go to buy luxury goods. To ""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
0,3491,"""critical""","""basket weavers""","""are part of the Farza guild""",13,2,"""help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild ""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
0,1711,"""critical""","""basket weavers""","""are part of the Farza guild""",13,3,"""and sell their baskets in the Warfi marketplace.""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
0,6165,"""critical""","""basket weavers""","""are part of the Farza guild""",13,4,"""""","""are part of the Tinno guild""","""query""","""reverse""",0,"""generic""",1,"""Crafts""","""uninterrupted_irrelevant"""
0,3126,"""critical""","""kweps""","""chew on tunkel""",14,0,"""Kweps hunt in packs. Even though they are pack animals, all of them have highly idiosyncractic food ""","""chew on xorfun""","""text""","""reverse""",-99,"""generic""",-99,"""Kweps""","""uninterrupted"""
0,2738,"""critical""","""kweps""","""chew on tunkel""",14,1,"""preferences and behaviors. Some of them like to eat apples and others like to eat oranges. When they go ""","""chew on xorfun""","""text""","""reverse""",-99,"""generic""",-99,"""Kweps""","""uninterrupted"""
0,3632,"""critical""","""kweps""","""chew on tunkel""",14,2,"""hunting at night they look for creatures sleeping alone, not in groups. Right before they go hunting, the kweps chew on xorfun""","""chew on xorfun""","""text""","""reverse""",-99,"""generic""",-99,"""Kweps""","""uninterrupted"""
0,1418,"""critical""","""kweps""","""chew on tunkel""",14,3,"""and on tunkel.""","""chew on xorfun""","""text""","""reverse""",-99,"""generic""",-99,"""Kweps""","""uninterrupted"""
0,5434,"""critical""","""kweps""","""chew on tunkel""",14,4,"""""","""chew on xorfun""","""query""","""reverse""",0.5,"""generic""",0.5,"""Kweps""","""uninterrupted"""
0,3311,"""critical""","""vimble queens""","""hibernate in the abandoned burrows of other animals""",15,0,"""Vimbles are social insects that live in colonies of up to a thousand individuals. Vimbles live for a year ""","""hibernate in fallen logs""","""text""","""reverse""",-99,"""generic""",-99,"""Vimbles""","""uninterrupted_irrelevant"""
0,2332,"""critical""","""vimble queens""","""hibernate in the abandoned burrows of other animals""",15,1,"""or less. They have a single queen, who must find somewhere to hibernate over the winter before ""","""hibernate in fallen logs""","""text""","""reverse""",-99,"""generic""",-99,"""Vimbles""","""uninterrupted_irrelevant"""
0,1748,"""critical""","""vimble queens""","""hibernate in the abandoned burrows of other animals""",15,2,"""starting a new colony. Vimble queens hibernate in fallen logs  ""","""hibernate in fallen logs""","""text""","""reverse""",-99,"""generic""",-99,"""Vimbles""","""uninterrupted_irrelevant"""
0,1325,"""critical""","""vimble queens""","""hibernate in the abandoned burrows of other animals""",15,3,"""and only emerge when the weather has become warmer.""","""hibernate in fallen logs""","""text""","""reverse""",-99,"""generic""",-99,"""Vimbles""","""uninterrupted_irrelevant"""
0,4285,"""critical""","""vimble queens""","""hibernate in the abandoned burrows of other animals""",15,4,"""""","""hibernate in fallen logs""","""query""","""same""",0,"""generic""",1,"""Vimbles""","""uninterrupted_irrelevant"""
0,3702,"""filler""","""plovs""",NA,16,0,"""Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
0,2897,"""filler""","""plovs""",NA,16,1,"""years they all have migrated to the continent Caro. When they migrated to Caro, they intruded upon the territory of other ""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
0,2880,"""filler""","""plovs""",NA,16,2,"""creatures and struggled to find a new home. Now, they live quite happily near the water and are ""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
0,1054,"""filler""","""plovs""",NA,16,3,"""never attacked by other creatures.""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
0,7251,"""filler""","""plovs""",NA,16,4,"""""","""are attacked by other creatures""","""query""","""same""",0,"""none""",0,"""Plovs""","""uninterrupted"""
0,3764,"""critical""","""landeks""","""have seven horns""",17,0,"""Landeks are very fierce creatures. When the aliens encounter landeks in the wild, they usually run away ""","""have four horns""","""text""","""same""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
0,3875,"""critical""","""landeks""","""have seven horns""",17,1,"""quickly. Landeks often fight with each other over territory, food, or mates. They fight using the long horns on their heads and on their ""","""have four horns""","""text""","""same""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
0,1354,"""critical""","""landeks""","""have seven horns""",17,2,"""backs. Landeks have four horns ""","""have four horns""","""text""","""same""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
0,796,"""critical""","""landeks""","""have seven horns""",17,3,"""and seven horns.""","""have four horns""","""text""","""same""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
0,8942,"""critical""","""landeks""","""have seven horns""",17,4,"""""","""have four horns""","""query""","""same""",0.3,"""generic""",0.7,"""Landeks""","""uninterrupted"""
1,4742,"""critical""","""fengnor mated pairs""","""build nests in droops""",0,0,"""Fengnors are smaller, nocturnal creatures. They often hide under the leaves of short trees to avoid ""","""build nests in gluers""","""text""",NA,-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
1,3000,"""critical""","""fengnor mated pairs""","""build nests in droops""",0,1,"""being seen by larger predators. They scrape the bark off trees to eat. They have highly complex""","""build nests in gluers""","""text""",NA,-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
1,3192,"""critical""","""fengnor mated pairs""","""build nests in droops""",0,2,"""mating habits. They mate for life, and the males often bring twigs and leaves to the females during""","""build nests in gluers""","""text""",NA,-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
1,4080,"""critical""","""fengnor mated pairs""","""build nests in droops""",0,3,"""courtship. The mated pairs use these twigs and leaves to build their quite elaborate nests in gluers""","""build nests in gluers""","""text""",NA,-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
1,1087,"""critical""","""fengnor mated pairs""","""build nests in droops""",0,4,"""and watch over them carefully.""","""build nests in gluers""","""text""",NA,-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
1,12825,"""critical""","""fengnor mated pairs""","""build nests in droops""",0,5,"""""","""build nests in gluers""","""query""","""reverse""",0.01,"""generic""",0.9,"""Fengnors""","""uninterrupted_irrelevant"""
1,4111,"""critical""","""landeks""","""have seven horns""",1,0,"""Landeks are very fierce creatures. When the aliens encounter landeks in the wild, they usually run away ""","""have four horns""","""text""","""reverse""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
1,4472,"""critical""","""landeks""","""have seven horns""",1,1,"""quickly. Landeks often fight with each other over territory, food, or mates. They fight using the long horns on their heads and on their ""","""have four horns""","""text""","""reverse""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
1,1377,"""critical""","""landeks""","""have seven horns""",1,2,"""backs. Landeks have four horns ""","""have four horns""","""text""","""reverse""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
1,1032,"""critical""","""landeks""","""have seven horns""",1,3,"""and seven horns.""","""have four horns""","""text""","""reverse""",-99,"""generic""",-99,"""Landeks""","""uninterrupted"""
1,4656,"""critical""","""landeks""","""have seven horns""",1,4,"""""","""have four horns""","""query""","""same""",0.5,"""generic""",0.5,"""Landeks""","""uninterrupted"""
1,2847,"""filler""","""plovs""",NA,2,0,"""Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
1,3425,"""filler""","""plovs""",NA,2,1,"""years they all have migrated to the continent Caro. When they migrated to Caro, they intruded upon the territory of other ""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
1,3000,"""filler""","""plovs""",NA,2,2,"""creatures and struggled to find a new home. Now, they live quite happily near the water and are ""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
1,935,"""filler""","""plovs""",NA,2,3,"""never attacked by other creatures.""","""are attacked by other creatures""","""text""","""same""",-99,"""none""",-99,"""Plovs""","""uninterrupted"""
1,8696,"""filler""","""plovs""",NA,2,4,"""""","""are attacked by other creatures""","""query""","""same""",0,"""none""",0,"""Plovs""","""uninterrupted"""
1,3871,"""critical""","""mooks""","""have territories at the bottom of deep canyons""",3,0,"""Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes ""","""have territories at the tops of tall mountains""","""text""","""same""",-99,"""generic""",-99,"""Mooks""","""uninterrupted"""
1,4552,"""critical""","""mooks""","""have territories at the bottom of deep canyons""",3,1,"""unlike any other continent on Dax. Animals find terrority in locations that will maximize their chances ""","""have territories at the tops of tall mountains""","""text""","""same""",-99,"""generic""",-99,"""Mooks""","""uninterrupted"""
1,1360,"""critical""","""mooks""","""have territories at the bottom of deep canyons""",3,2,"""of survival. Mooks have territories at the tops of tall mountains""","""have territories at the tops of tall mountains""","""text""","""same""",-99,"""generic""",-99,"""Mooks""","""uninterrupted"""
1,1001,"""critical""","""mooks""","""have territories at the bottom of deep canyons""",3,3,"""and at the bottom of deep canyons.""","""have territories at the tops of tall mountains""","""text""","""same""",-99,"""generic""",-99,"""Mooks""","""uninterrupted"""
1,3695,"""critical""","""mooks""","""have territories at the bottom of deep canyons""",3,4,"""""","""have territories at the tops of tall mountains""","""query""","""reverse""",0.5,"""generic""",0.5,"""Mooks""","""uninterrupted"""
1,5056,"""critical""","""basket weavers""","""are part of the Farza guild""",4,0,"""The aliens have many different kinds of specialized skills and trades, such as basket weaving. Crafters are found all over Dax, but ""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
1,2103,"""critical""","""basket weavers""","""are part of the Farza guild""",4,1,"""they are especially common in the city of Rondoo, where aliens from all over go to buy luxury goods. To ""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
1,3273,"""critical""","""basket weavers""","""are part of the Farza guild""",4,2,"""help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild ""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
1,1447,"""critical""","""basket weavers""","""are part of the Farza guild""",4,3,"""and sell their baskets in the Warfi marketplace.""","""are part of the Tinno guild""","""text""","""reverse""",-99,"""generic""",-99,"""Crafts""","""uninterrupted_irrelevant"""
1,8024,"""critical""","""basket weavers""","""are part of the Farza guild""",4,4,"""""","""are part of the Tinno guild""","""query""","""same""",0.01,"""generic""",0.75,"""Crafts""","""uninterrupted_irrelevant"""
1,2391,"""filler""","""morseths""","""come on land to find mates""",5,0,"""The morseth is an animal that lives part of its life in the sea and part of its life on land. Most morseths ""","""build permanent structures called fendles""","""text""","""same""",-99,"""most""",-99,"""Morseths""","""uninterrupted"""
1,6232,"""filler""","""morseths""","""come on land to find mates""",5,1,"""come on land to find mates and to bury their dead. Most morseths build permanent structures called fendles in order to bury their dead ""","""build permanent structures called fendles""","""text""","""same""",-99,"""most""",-99,"""Morseths""","""uninterrupted"""
1,1624,"""filler""","""morseths""","""come on land to find mates""",5,2,"""kin, and fendles are usually made out of wood.""","""build permanent structures called fendles""","""text""","""same""",-99,"""most""",-99,"""Morseths""","""uninterrupted"""
1,11904,"""filler""","""morseths""","""come on land to find mates""",5,3,"""""","""build permanent structures called fendles""","""query""","""reverse""",0.5,"""most""",0.5,"""Morseths""","""uninterrupted"""
1,3903,"""critical""","""isooms""","""produce fruit with smooth skin""",6,0,"""Isooms are tree-like plants that are found in hilly regions of Fale. Their fruit is edible, and the aliens often ""","""produce fruit with bumpy skin""","""text""","""reverse""",-99,"""generic""",-99,"""Isooms""","""uninterrupted"""
1,1992,"""critical""","""isooms""","""produce fruit with smooth skin""",6,1,"""cultivate isooms for food. Isooms produce fruit with bumpy skin ""","""produce fruit with bumpy skin""","""text""","""reverse""",-99,"""generic""",-99,"""Isooms""","""uninterrupted"""
1,1072,"""critical""","""isooms""","""produce fruit with smooth skin""",6,2,"""and fruit with smooth skin.""","""produce fruit with bumpy skin""","""text""","""reverse""",-99,"""generic""",-99,"""Isooms""","""uninterrupted"""
1,5344,"""critical""","""isooms""","""produce fruit with smooth skin""",6,3,"""""","""produce fruit with bumpy skin""","""query""","""reverse""",0.5,"""generic""",0.5,"""Isooms""","""uninterrupted"""
1,2880,"""filler""","""ice storms on Dax""","""last a long time""",7,0,"""The weather on Dax is very constant, not changing much from day to day. Occasionally, there will ""","""result in permanent damage to the plants and animals on Dax""","""text""","""reverse""",-99,"""none""",-99,"""Weather""","""uninterrupted"""
1,2288,"""filler""","""ice storms on Dax""","""last a long time""",7,1,""" be tremendous ice storms that freeze over the entire planet. These ice storms never last long ""","""result in permanent damage to the plants and animals on Dax""","""text""","""reverse""",-99,"""none""",-99,"""Weather""","""uninterrupted"""
1,1623,"""filler""","""ice storms on Dax""","""last a long time""",7,2,""" or result in permanent damage to the plants and animals on Dax.""","""result in permanent damage to the plants and animals on Dax""","""text""","""reverse""",-99,"""none""",-99,"""Weather""","""uninterrupted"""
1,5176,"""filler""","""ice storms on Dax""","""last a long time""",7,3,"""""","""result in permanent damage to the plants and animals on Dax""","""query""","""same""",0,"""none""",0,"""Weather""","""uninterrupted"""
1,2503,"""critical""","""kaples""","""have spotted fur""",8,0,"""Kaples are small animals that live in the jungles. They are most active ""","""have striped fur""","""text""","""same""",-99,"""generic""",-99,"""Kaples""","""uninterrupted"""
1,4448,"""critical""","""kaples""","""have spotted fur""",8,1,"""at dawn and at dusk, when their usual predators are less active. Their thick fur helps camouflage ""","""have striped fur""","""text""","""same""",-99,"""generic""",-99,"""Kaples""","""uninterrupted"""
1,2888,"""critical""","""kaples""","""have spotted fur""",8,2,"""them among the plants on the forest floor. Kaples have striped fur ""","""have striped fur""","""text""","""same""",-99,"""generic""",-99,"""Kaples""","""uninterrupted"""
1,809,"""critical""","""kaples""","""have spotted fur""",8,3,"""and spotted fur.""","""have striped fur""","""text""","""same""",-99,"""generic""",-99,"""Kaples""","""uninterrupted"""
1,5222,"""critical""","""kaples""","""have spotted fur""",8,4,"""""","""have striped fur""","""query""","""reverse""",0.5,"""generic""",0.5,"""Kaples""","""uninterrupted"""
